
SECRETARIA DE ADMINISTRACION                                                                 OFICINA DE PENSIONES
COMPARATIVO DE NOMINA  PARA EL PAGO A JUBILADOS DEL MES DE ENERO DE 2019                        FECHA: 17/12/2018
===================================================================================================================
                          NOMINA
CVE. DESCRIPCION          DICIEMBRE             ALTAS           BAJAS         TOTAL        NOMINA       DIFERENCIA
===================================================================================================================

P E R C E P C I O N E S

  1 PENSION MENSUAL   35,175,978.90        1,113,116.00           0.00  36,289,094.90  36,289,094.90           0.00
  1 PENSION MENSUAL       89,667.00 RET.      50,610.69      89,667.00      50,610.69      50,610.69           0.00
  3 COMP. COMPACTA         2,512.00                0.00           0.00       2,512.00       2,512.00           0.00
  4 AJUSTE PENSION         3,746.00                0.00           0.00       3,746.00       3,746.00           0.00
 14 P.S.M.             8,078,425.00          250,417.00           0.00   8,328,842.00   8,328,842.00           0.00
 14 P.S.M.                23,790.00 RET.       9,169.80      23,790.00       9,169.80       9,169.80           0.00
 16 DESPENSA           2,859,556.00           82,782.00           0.00   2,942,338.00   2,942,338.00           0.00
 16 DESPENSA               6,643.00 RET.       3,168.21       6,643.00       3,168.21       3,168.21           0.00
 19 VIDA CARA          1,365,424.00           39,528.00           0.00   1,404,952.00   1,404,952.00           0.00
 19 VIDA CARA              3,172.00 RET.       1,512.81       3,172.00       1,512.81       1,512.81           0.00
 25 QUINQUENIOS        6,640,102.11          203,906.40           0.00   6,844,008.51   6,844,008.51           0.00
 25 QUINQUENIOS           16,813.35 RET.       8,438.19      16,813.35       8,438.19       8,438.19           0.00
 27 AGUINALDO         41,891,817.10                0.00  41,891,817.10           0.00           0.00           0.00
                     --------------      -------------- -------------- -------------- -------------- --------------
TOTALES:              96,157,646.46        1,762,649.10  42,031,902.45  55,888,393.11  55,888,393.11           0.00

D E D U C C I O N E S

 82 AYUDA DE DEFUN        49,515.00           29,820.00      49,515.00      29,820.00      29,820.00           0.00
 83 CUOTA UNION JUB       49,600.00                0.00      49,600.00           0.00           0.00           0.00
 85 AYUDA UNION JUB       19,675.00               70.00           0.00      19,745.00      19,745.00           0.00
 85 AYUDA UNION JUB          150.00 RET.           0.00         150.00           0.00           0.00           0.00
202 FDO.D PENSIONES      432,195.48           80,763.21      14,495.58     498,463.11     498,463.11           0.00
202 FDO.D PENSIONES        8,070.03 RET.       1,079.46       8,070.03       1,079.46       1,079.46           0.00
204 I.M.S.S.             369,270.69           51,620.09     207,495.51     213,395.27     213,395.27           0.00
205 PRESTAMO PENS.     4,105,937.00          176,456.00     164,122.00   4,118,271.00   4,118,271.00           0.00
206 PRESTAMO HIPOT.      117,475.00            3,735.00       1,130.00     120,080.00     120,080.00           0.00
217 DESC.JUD.X POR.      599,386.14                0.00     263,482.78     335,903.36     335,903.36           0.00
217 DESC.JUD.X POR.          524.00 RET.           0.00           0.00         524.00         524.00           0.00
220 ACREIMEX           1,218,860.00           93,068.00      65,710.00   1,246,218.00   1,246,218.00           0.00
221 DIRECTOS D.R.H.       36,025.00           11,550.00       2,475.00      45,100.00      45,100.00           0.00
226 LINEA BCA.D.R.H       66,485.20           10,799.60       2,914.80      74,370.00      74,370.00           0.00
227 PAQ. MAT. D.R.H       37,200.00            1,750.00       3,125.00      35,825.00      35,825.00           0.00
241 SERVS. FUNERA.        37,881.00            2,804.00       3,537.00      37,148.00      37,148.00           0.00
242 INVERPREA            367,843.20            3,533.00       6,505.38     364,870.82     364,870.82           0.00
251 SOLIDEZ DE M         644,725.00           33,734.00      30,392.00     648,067.00     648,067.00           0.00
257 CREDIFIEL             60,718.34                0.00           0.00      60,718.34      60,718.34           0.00
260 MULT. TU NOMINA      978,695.59           15,753.84      31,090.59     963,358.84     963,358.84           0.00
265 MONTE DE PIEDAD      234,796.00            2,578.00       7,364.00     230,010.00     230,010.00           0.00
268 CRED.SALVADOR         94,322.00                0.00       2,958.00      91,364.00      91,364.00           0.00
269 TOTAL CREDIT         268,068.47           13,910.20           0.00     281,978.67     281,978.67           0.00
270 MAS NOMINA            65,490.00            5,295.00           0.00      70,785.00      70,785.00           0.00
271 X TU NOMINA           82,321.35            4,999.83       8,623.09      78,698.09      78,698.09           0.00
272 SUPER CASH           750,105.49           88,308.32      19,824.54     818,589.27     818,589.27           0.00
273 CREDITO EXPRESS      230,759.00           10,812.00           0.00     241,571.00     241,571.00           0.00
274 ADEX                   9,428.79            2,748.80           0.00      12,177.59      12,177.59           0.00
                     --------------      -------------- -------------- -------------- -------------- --------------
TOTALES:              10,935,522.77          645,188.35     942,580.30  10,638,130.82  10,638,130.82           0.00

DIFERENCIA:           85,222,123.69        1,117,460.75  41,089,322.15  45,250,262.29  45,250,262.29           0.00 
